wildlife%1:14:00::@{wildlife_0}@@core@
error%1:09:00::@{error_0}@erroneous belief@core@
heel%1:08:00::@{heel_0}@back of the foot@core@
merchant%1:18:00::@{merchant_0}@merchandiser, businessperson@core@
redundancy%1:07:00::@{redundancy_0}@redundance, superfluousness@core@
vessel%1:06:01::@{vessel_0}@container@core@
terrorist%1:18:00::@{terrorist_0}@@core@
skull%1:08:00::@{skull_0}@@core@
cut%1:26:00::@{cut_0}@gash, slash, wound@core@
rabbit%1:05:00::@{rabbit_0}@burrowing animal@core@
43471@{abstrahere_1}@se bort fra de underordnede detaljer i en bestræbe ...@UnboundedEvent+Experience+Physical@
stand%1:09:00::@{stand_0}@viewpoint, standpoint@core@
hand%1:18:00::@{hand_0}@hired hand, hired man@core@
shock%1:04:00::@{shock_0}@electric shock@core@
77767@{ledig_1}@ikke optaget; fri; til rådighed@Property+Physical@
estimate%1:09:00::@{estimate_0}@estimation, approximation@core@
society%1:14:00::@{society_0}@extended social group@core@
load%1:06:00::@{load_0}@burden, weight@core@
broccoli%1:13:00::@{broccoli_0}@vegetable@core@
top%1:15:02::@{top_0}@peak, crown, crest, tip, summit@core@
concept%1:09:00::@{concept_0}@conception, construct@core@
sodium%1:27:00::@{sodium_0}@Na@core@
method%1:09:00::@{method_0}@way of doing something@core@
chapter%1:10:00::@{chapter_0}@subdivision of a written work@core@
pressure%1:09:00::@{pressure_0}@pressure sensation@core@
cruelty%1:12:00::@{cruelty_0}@mercilessness, pitilessness, ruthlessness@core@
lesson%1:04:01::@{lesson_0}@unit of instruction@core@
rule%1:10:02::@{rule_0}@directions defining a game or sport@core@
connection%1:26:00::@{connection_0}@link, connectedness@core@
panic%1:12:00::@{panic_0}@terror, overwhelming fear@core@
lock%1:08:00::@{lock_0}@curl, ringlet, whorl@core@
expert%1:18:00::@{expert_0}@@core@
grip%1:07:00::@{grip_0}@grasp, controlling influence@core@
shell%1:20:00::@{shell_0}@outer layer of nuts or fruits@core@
official%1:18:01::@{official_0}@functionary@core@
situation%1:26:00::@{situation_0}@state of affairs@core@
transport%1:04:00::@{transport_0}@transportation, shipping@core@
butterfly%1:05:00::@{butterfly_0}@diurnal insect@core@
column%1:14:01::@{column_0}@linear array of numbers@core@
model%1:18:02::@{model_0}@fashion model@core@
pilot%1:18:00::@{pilot_0}@airplane pilot@core@
site%1:15:00::@{site_0}@land site@core@
voice%1:18:00::@{spokesperson_0}@interpreter, representative@core@
49161@{verdenssamfund_1}@fællesskab af (alle) verdens lande og deres befolk ...@3rdOrderEntity+Mental+Social@
49160@{veksle_3_1}@ombytte en sum penge i én valuta til penge med sam ...@BoundedEvent+Agentive+Possession@
49163@{hekse_1}@bruge sort magi; trylle@UnboundedEvent+Agentive+Physical@
49165@{yde_2}@præstere (fysisk el. mentalt); gøre@UnboundedEvent+Agentive@
49167@{hore,2_1}@bedrive hor; have samleje@UnboundedEvent+Agentive+Physical+Social@
49166@{færgeoverfart_0}@b-ord@Dynamic+Agentive+Physical+Location@
49169@{boltre_1_1: boltre sig}@udfolde sig frit@UnboundedEvent+Agentive@
49168@{maskulinitet_0}@b-ord@Property+Physical@
soccer%1:04:00::@{soccer_0}@@core@
employer%1:18:00::@{employer_0}@@core@
wound%1:26:00::@{wound_0}@lesion@core@
heir%1:18:00::@{heir_0}@inheritor, heritor@core@
49309@{tjene_3_1}@være ansat, ofte som tyende@Dynamic+Agentive+Purpose+Social@
participant%1:18:00::@{participant_0}@@core@
jazz%1:10:00::@{jazz_0}@@core@
integration%1:04:00::@{integration_0}@desegregation@core@
land%1:26:00::@{land_0}@kingdom, realm@core@
essence%1:06:00::@{perfume_0}@essence@core@
brain%1:18:00::@{brain_0}@genius, mastermind@core@
psychology%1:09:00::@{psychology_0}@psychological science@core@
share%1:21:01::@{share_0}@any of the equal portions into which the capital s ...@core@
soap%1:06:00::@{soap_0}@cleansing agent@core@
cousin%1:18:00::@{cousin_0}@first cousin@core@
71538@{chauvinisme_1}@holdning præget af for høje tanker om den bestemte ...@3rdOrderEntity+Mental@
country%1:15:01::@{country_0}@rural area@core@
71536@{intonation_1}@melodien i et sprog el. en dialekt@Property+LanguageRepresentation@
childhood%1:28:00::@{childhood_0}@@core@
target%1:10:00::@{target_0}@mark@core@
habit%1:09:00::@{habit_0}@established custom@core@
rehearsal%1:04:01::@{rehearsal_0}@dry run@core@
wall%1:06:00::@{wall_0}@architectural partition@core@
sand%1:27:00::@{sand_0}@finely ground particles@core@
memory%1:09:02::@{memory_0}@something that is remembered@core@
reserve%1:21:00::@{supply_0}@backlog, stockpile, reserve, reservoir@core@
glasses%1:06:00::@{glasses_0}@eyeglasses, spectacles@core@
thigh%1:08:00::@{thigh_0}@part of the leg@core@
